qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
6,17,0,10.05,400,0,4559,1
2,10,0,7.29,400,0,4558,2
8,17,0,12.33,400,0,4536,2
2,7,0,8.5,400,1,4559,2
6,17,0,10.05,400,0,4553,2
4,19,1,7.98,400,0,4551,2
5,17,0,9.12,400,1,4552,2
2,6,0,9.2,400,1,4535,1
8,38,1,7.74,400,1,4563,1
2,6,0,9.2,400,0,4531,3
2,13,0,6.71,400,1,4563,1
0,11,0,0.55,400,1,4538,1
6,20,0,9.37,400,0,4557,2
6,15,0,10.7,400,1,4538,1
0,11,0,0.55,400,1,4538,1
5,16,0,9.36,400,1,4561,2
5,12,0,10.81,400,1,4539,1
6,16,0,10.35,400,1,4565,1
6,19,1,10.05,400,1,4566,2
3,13,0,7.93,400,0,4528,2
8,17,0,12.33,400,1,4540,3
6,16,0,10.35,400,1,4535,1
5,15,0,9.64,400,1,4538,1
6,17,0,10.05,400,1,4536,2
5,12,0,10.81,1200,1,5787,2
3,18,0,7.16,1200,1,5777,2
9,20,0,11.24,1200,1,5755,2
6,15,0,10.7,1200,1,5743,1
2,5,0,10.2,1200,1,5755,1
4,14,0,9.14,1200,1,5760,2
6,21,0,9.37,1200,1,5741,5
2,9,0,7.59,1200,1,5778,1
4,10,0,10.45,1200,1,5749,1
5,22,0,8.32,1200,1,5774,1
5,18,1,9.97,1200,1,5747,2
5,16,0,9.36,1200,1,5788,5
4,15,0,8.84,1200,1,5752,3
3,19,0,6.6,1200,1,5758,3
3,13,1,8.18,1200,1,5752,4
5,20,0,8.58,1200,1,5782,2
5,20,0,8.58,1200,1,5788,1
8,11,0,15.67,400,1,5585,1
3,15,0,7.71,400,1,5610,2
4,17,1,9.14,400,0,5591,1
6,11,0,12.79,400,1,5595,1
1,1,0,19.48,400,1,5607,1
5,13,0,10.81,400,1,5578,1
5,19,0,8.73,400,1,5597,2
8,23,1,10.69,400,1,5593,1
5,13,0,10.35,400,1,5601,2
7,20,0,10.16,400,0,5589,2
3,14,0,7.71,400,1,5585,1
8,17,0,12.33,400,0,5580,1
1,2,0,11.63,400,0,5590,2
8,20,0,10.94,400,0,5612,2
2,9,0,7.59,400,0,5621,2
5,16,0,9.36,400,0,5612,1
6,16,0,10.35,400,0,5622,2
5,21,0,8.58,400,0,5604,1
12,45,1,9.19,400,0,5606,1
8,17,0,11.91,400,0,5604,1
3,7,0,10.75,400,0,5612,1
6,11,0,12.79,400,0,5622,1
4,16,0,8.38,400,1,5619,4
4,19,0,8.04,400,1,5623,1
3,7,0,10.75,400,0,5595,1
9,18,0,13.31,400,1,5588,1
13,49,1,9.03,400,0,5621,2
3,6,0,11.83,1600,1,4751,1
2,12,0,6.86,1600,1,4749,2
9,17,0,13.31,1600,1,4744,2
5,13,0,10.35,1600,1,4699,1
18,41,1,12.06,1600,1,4746,3
2,19,0,5.69,1600,1,4721,2
6,17,0,10.05,1600,1,4701,2
5,8,0,15.26,1600,1,4699,1
5,18,0,9.12,1600,1,4732,2
6,15,0,11.1,1600,1,4736,1
3,6,0,11.83,1600,1,4691,2
5,20,0,8.58,1600,1,4690,1
2,11,0,7.29,1600,1,4736,1
6,15,0,10.7,1600,1,4730,1
11,32,1,10.74,1600,1,4722,1
1,6,0,7.04,1600,1,4709,1
7,29,1,8.4,1600,1,4725,4
5,20,0,8.26,1000,0,4983,4
3,16,0,7.39,1000,0,4931,1
7,18,0,10.98,1000,0,4960,2
10,48,1,7.89,1000,0,4966,2
5,11,0,11.36,1000,0,4945,2
8,21,0,10.94,1000,0,4952,2
4,9,0,10.88,1000,0,4982,2
6,16,0,10.35,1000,0,4989,1
7,16,0,11.34,1000,0,4944,1
9,18,0,12.84,1000,0,4967,2
1,6,0,6.57,1000,0,4999,4
5,20,0,8.58,1000,0,4976,1
5,17,0,9.12,1000,0,4946,5
8,44,1,7.69,1000,0,4968,1
4,20,0,7.79,1000,0,4965,1
12,42,1,9.46,1000,0,4929,2
5,21,0,8.58,1000,0,4941,2
3,3,0,19.58,1000,0,4939,1
5,16,0,9.36,1000,0,4975,2
9,17,1,13.31,1000,0,4994,3
3,5,0,13.36,600,0,6168,2
3,6,0,11.83,600,0,6120,2
5,13,0,10.35,600,0,6125,2
6,15,0,11.1,600,0,6119,1
3,4,0,15.68,600,0,6163,1
4,16,0,8.38,600,0,6128,2
6,17,0,10.05,600,0,6156,1
9,34,1,9.12,600,0,6135,5
10,18,0,14.3,600,0,6129,3
3,13,0,7.93,600,0,6163,2
2,10,0,7.29,600,0,6148,3
8,16,0,12.33,600,0,6173,1
7,13,0,12.78,600,0,6149,2
2,5,1,11.73,600,0,6156,1
5,12,0,10.81,600,0,6113,1
2,10,0,7.59,600,0,6113,2
8,19,0,11.23,600,0,6173,1
3,24,0,6.27,600,0,6171,2
4,11,0,9.92,2000,1,5364,1
5,13,1,11.36,2000,1,5328,1
5,24,1,8.58,2000,1,5374,1
4,12,0,9.92,2000,1,5315,3
5,10,0,11.7,2000,1,5334,3
9,18,0,12.42,2000,1,5367,1
5,15,0,9.64,2000,1,5379,2
5,16,1,9.97,2000,1,5325,1
3,15,0,7.54,2000,1,5355,4
5,19,0,8.92,2000,1,5346,1
5,21,1,8.26,2000,1,5360,4
4,9,0,11.1,2000,1,5332,5
7,16,0,11.38,2000,1,5335,1
4,23,0,7.05,2000,1,5345,3
6,20,0,9.57,2000,1,5318,2
8,18,0,11.55,2000,1,5320,3
6,24,1,8.49,2000,1,5318,1
6,12,0,12.13,2000,1,5328,1
10,18,0,13.3,2000,1,5352,3
8,19,0,11.23,1000,0,4235,4
3,5,0,13.36,1000,0,4262,1
5,8,0,13.9,1000,0,4263,1
7,13,0,12.78,1000,0,4225,2
7,18,0,10.98,1000,0,4229,1
2,5,0,10.2,1000,0,4222,4
6,15,0,10.7,1000,0,4263,2
6,15,0,10.7,1000,0,4250,1
5,16,0,9.64,1000,0,4213,1
7,21,0,9.66,1000,0,4248,4
4,11,0,9.92,1000,0,4223,1
3,13,0,7.93,1000,0,4257,1
2,5,0,10.2,1000,0,4268,2
5,19,0,8.92,1000,0,4217,2
5,15,0,9.64,1000,0,4249,1
4,11,0,9.92,1000,0,4230,4
4,15,0,8.59,1000,0,4250,1
7,17,0,10.56,1000,0,4256,2
10,17,0,13.35,2000,1,6283,2
4,20,0,7.79,2000,1,6254,1
4,9,0,11.1,2000,1,6296,1
7,13,0,12.78,2000,1,6243,5
3,18,0,7.16,2000,1,6290,4
3,16,0,7.39,2000,1,6264,2
6,17,0,10.35,2000,1,6268,2
4,5,0,16.52,2000,1,6294,2
3,6,0,11.83,2000,1,6285,2
4,18,0,8.04,2000,1,6288,2
5,16,0,9.64,2000,1,6280,3
1,5,0,7.78,2000,1,6255,1
4,15,0,8.59,2000,1,6265,2
6,13,0,11.57,2000,1,6291,2
1,2,0,11.63,2000,1,6244,1
6,14,0,11.1,2000,1,6265,1
5,16,0,9.64,2000,1,6280,3
5,25,0,8.03,800,1,5114,1
8,11,0,15.39,800,1,5119,2
5,14,0,9.97,800,1,5155,1
5,15,0,9.27,800,1,5123,2
4,14,0,8.84,800,0,5153,2
5,16,0,9.36,800,0,5160,2
4,4,0,19.62,800,1,5143,2
2,18,0,6.28,800,1,5171,2
3,3,0,19.58,800,0,5168,1
5,13,0,10.35,800,1,5170,2
5,24,0,7.64,800,0,5113,2
1,9,0,5.84,800,1,5147,1
2,12,0,7.05,800,0,5171,2
7,14,0,12.46,800,0,5148,2
3,15,0,7.54,800,0,5145,1
6,18,0,9.2,800,0,5126,3
14,40,1,10.53,800,0,5128,2
3,3,0,19.58,800,1,5170,1
6,8,0,17.52,800,0,5144,2
5,19,0,8.92,800,1,5124,2
5,21,0,8.44,800,1,5144,2
5,11,0,11.36,800,1,5121,3
8,20,0,11.23,800,1,5153,2
6,20,0,9.37,800,0,5130,2
5,17,1,10.35,800,1,5121,2
5,11,0,12.03,800,1,5147,2
5,17,0,9.36,800,1,5142,1
3,13,0,7.6,800,0,5162,1
6,30,1,7.48,800,0,5144,1
1,25,0,1.85,800,0,5170,2
7,15,0,11.75,800,0,5133,2
5,13,0,10.35,800,1,5148,2
5,11,0,12.03,800,0,5165,1
2,3,0,14.31,400,1,5116,1
5,22,0,8.32,400,0,5151,2
5,14,0,9.97,400,1,5153,1
3,6,0,11.83,400,0,5159,2
5,16,0,9.36,400,1,5134,5
6,12,1,13.61,400,0,5129,1
8,22,0,10.47,500,1,5128,1
5,9,0,13.9,400,1,5158,2
8,15,0,12.8,400,0,5148,2
5,14,0,9.97,400,0,5122,2
5,8,0,13.9,400,0,5136,1
7,20,0,10.16,400,0,5135,1
6,10,0,14.61,400,1,5133,1
5,13,0,10.35,400,0,5122,2
5,13,0,10.35,400,1,5121,2
3,9,0,9.35,400,1,5151,2
3,17,0,7.27,400,1,5158,2
4,15,0,8.59,400,1,5127,1
3,3,0,19.58,400,1,5155,1
4,19,0,7.9,400,1,5149,1
8,18,0,11.91,400,0,5124,1
5,11,0,11.36,400,1,5157,3
1,3,0,9.05,400,0,5122,1
5,14,0,9.97,400,0,5149,1
7,17,0,11.34,400,0,5115,2
5,18,0,9.12,400,1,5153,2
8,12,0,15.67,400,1,5151,2
3,9,0,9.35,400,0,4191,1
3,11,0,8.87,400,0,4215,2
4,16,0,8.38,400,1,4188,5
3,11,0,8.49,400,0,4211,1
5,18,0,8.7,400,0,4181,2
7,16,0,11.34,400,1,4192,2
2,8,0,7.98,400,0,4209,1
6,19,0,9.35,400,0,4212,2
3,3,0,19.58,400,0,4175,2
4,12,0,9.5,400,1,4175,1
4,12,0,9.5,400,0,4197,2
6,15,0,10.7,400,0,4177,2
7,17,0,10.98,400,1,4194,1
3,9,0,9.35,400,1,4198,2
9,18,0,12.42,400,1,4198,1
7,13,0,12.78,400,1,4211,1
7,16,0,11.34,400,0,4198,1
4,7,0,14.46,400,0,4211,1
3,18,0,7.16,400,1,4189,2
4,15,0,8.84,400,1,4201,1
3,15,0,7.54,400,0,4189,2
8,16,0,12.33,400,1,4189,1
5,23,0,7.64,400,1,4204,1
9,13,0,15.21,400,1,4176,1
4,17,0,8.19,400,0,4195,4
4,15,0,8.84,800,0,5834,1
4,18,0,8.04,800,1,5812,1
7,15,0,11.75,800,1,5854,1
4,20,0,7.79,800,0,5845,1
3,10,0,8.87,800,0,5839,1
3,10,0,9.35,800,1,5841,6
4,20,0,7.29,800,0,5843,2
5,17,0,8.7,800,1,5813,2
10,22,0,11.9,800,0,5820,2
4,23,0,6.76,800,0,5818,2
6,9,0,14.61,800,0,5856,2
3,6,0,11.83,800,1,5847,2
6,17,0,10.05,800,0,5849,1
4,14,0,8.84,800,0,5832,2
6,18,0,9.79,800,0,5827,1
3,14,0,7.71,800,1,5817,2
7,17,0,10.98,800,0,5814,2
5,15,0,9.64,800,0,5808,2
9,44,1,8.18,800,1,5837,3
4,5,0,16.52,800,1,5844,1
5,11,0,11.36,800,1,5831,2
4,20,0,7.79,800,0,5832,1
4,9,0,11.1,800,0,5847,3
5,17,0,9.12,800,0,5816,1
4,19,0,8.04,800,0,5813,1
7,14,0,12.23,800,0,5850,1
1,12,1,5.84,800,1,5838,4
5,19,1,9.12,800,0,5814,4
5,15,0,9.64,1000,0,4705,1
5,19,0,8.92,1000,0,4665,1
3,8,0,9.95,1000,0,4716,1
7,14,0,12.23,1000,0,4681,2
2,5,0,10.2,1000,0,4695,3
5,16,0,9.36,1000,0,4708,1
7,18,0,10.67,900,0,4694,1
4,16,0,8.59,1000,0,4668,2
7,14,0,12.23,1000,0,4681,2
3,12,0,8.18,1000,0,4667,1
3,15,0,7.71,1000,0,4663,2
4,16,0,8.59,1000,0,4668,2
10,15,0,15.61,1000,0,4698,1
7,18,0,10.67,1000,0,4705,6
7,11,0,14.23,1000,0,4702,1
12,39,1,9.63,1000,0,4657,3
4,10,0,10.45,1000,0,4661,2
1,7,0,6.24,1000,0,4687,1
6,18,0,9.79,2000,1,4587,1
4,16,0,8.38,2000,1,4610,1
1,1,0,19.48,2000,1,4600,1
2,5,0,10.2,2000,1,4603,2
2,21,0,6.18,2000,1,4622,2
3,17,0,7.27,2000,1,4599,1
7,15,0,12.23,2000,1,4612,4
9,20,0,11.73,2000,1,4588,6
12,33,1,10.35,2000,1,4581,3
8,21,0,10.94,2000,1,4597,4
6,16,0,10.7,2000,1,4573,2
3,7,0,10.75,2000,1,4610,1
2,15,0,6.49,2000,1,4573,2
4,10,0,10.45,2000,1,4619,2
7,14,0,12.23,2000,1,4577,2
3,15,0,7.54,2000,1,4629,3
4,10,0,11.1,1600,1,5708,2
3,23,0,6.88,1600,1,5747,2
3,9,0,9.35,1600,1,5711,1
4,12,0,9.5,1600,1,5692,1
3,9,0,10.75,1600,1,5703,1
9,31,1,9.98,1600,1,5693,2
9,34,1,9.02,1600,1,5696,1
