Show,AirDate,Round,Category,Value,qLength,qHardWords,qDaleChall,aLength,hasMedia,mediaLink,Question,Answer
5351,12/10/2007,1,"""P""EOPLE",400,22,6,9.19,2,0,,In 1955 this NAACP member was arrested & fined for refusing to give up her seat on a segregated bus in Alabama,Rosa Parks
4649,11/18/2004,1,CINEMA TRIVIA,1200,21,7,9.94,2,0,,"The voice of Princess Fiona in ""Shrek"", she broke her nose while surfing in Hawaii on her August 30, 2003 birthday",Cameron Diaz
4327,5/27/2003,0,DIVINE COMEDIES,600,16,7,11.34,3,0,,"This 1978 Warren Beatty film was a remake of the comic fantasy ""Here Comes Mr. Jordan""",Heaven Can Wait
4339,6/12/2003,1,TOP-RATED TV SHOWS,800,17,2,5.92,1,0,,"Part 4 of ""The Thorn Birds"" rated a 43.1; part 4 of this miniseries rated a 43.8",Roots
4499,3/11/2004,1,THE SAILOR MAN,2000,20,8,11.23,2,0,,"In December 1944 this commander of the Pacific fleet was promoted to the Navy's newest & highest rank, fleet admiral",(Chester) Nimitz
5231,5/14/2007,1,WAR OF WORDS,800,15,11,15.96,1,0,,"Also meaning ""abusive criticism"", this antiaircraft artillery term comes from the German ""Flieger Abwehr Kanone""",flak
4625,10/15/2004,0,LICENSE PLATE SLOGANS,200,3,0,0.15,1,0,,"""OK!"" 'Nuff said",Oklahoma
4340,6/13/2003,1,1960,1200,19,5,8.92,4,0,,"In submarine feats, the Sargo went to the North Pole & the Triton did this, submerged, in 84 days",traveled around the world
5310,10/12/2007,0,MUSICAL THEATRE,800,17,8,12.33,2,0,,"In a 2007 musical, this fairy tale heroine wakes up & finds herself in a sleep-disorder center",Sleeping Beauty
4880,11/25/2005,1,SPICE GIRLS (AND BOYS),2000,10,3,8.87,1,0,,"Movie producer Neufeld, or a spice with a weapon name",Mace
4699,1/27/2005,0,TEENS IN HISTORY,800,18,7,10.67,3,0,,"Betrothed as a teen to her creepy cousin in 1744, she later became a ""Great"" empress of Russia",Catherine the Great
5117,12/5/2006,0,WORLD LEADERS,600,14,7,12.23,3,0,,In 2006 his Taepodong missile test had us wondering about looking for fallout shelters,Kim Jong Il
4105,6/7/2002,1,AFRICAN CITIES,800,16,5,9.36,1,0,,You'll find this Egyptian city at the southern entrance to the canal of the same name,Suez
5060,9/15/2006,1,FRANZ FERDINAND,2000,7,2,8.5,2,0,,The Royal Family to which he belonged,the Hapsburgs
5311,10/15/2007,0,SPORTS JOES,600,16,5,9.36,2,0,,"In 1973 George Foreman grilled this ""Smokin'"" guy, knocking him down 6 times in 2 rounds",Joe Frazier
4318,5/14/2003,1,HISTORIC BATTLES,1600,18,8,11.1,1,0,,"Shattering the myth of Japanese invincibility, U.S. Marines stormed this island in the Solomons on August 7, 1942",Guadalcanal
5418,3/12/2008,0,MEDALS & DECORATIONS,600,18,8,11.55,2,0,,In 1940 this general created France's Order of Liberation to honor those who helped liberate France in WWII,De Gaulle
6264,12/8/2011,1,FUN WITH THE PERIODIC TABLE,1200,10,3,8.87,2,0,,"Element 107, named for this man, has the symbol Bh",Niels Bohr
5275,7/13/2007,1,CHECK YOUR OIL,800,19,4,8.04,2,0,,This country is the world's largest producer of crude oil & is home to the world's largest oil reserves,Saudi Arabia
5739,7/16/2009,0,"LET'S ""CH""AT",200,18,4,8.19,1,0,,"They're routine tasks done around the house, & before you go out to play, you'd better do yours",chores
4506,3/22/2004,1,MEDICINE,2000,13,4,9.14,1,0,,Nitroglycerin is an example of this type of drug that widens blood vessels,vasodilator
5797,11/24/2009,1,THE NEW YORK TIMES 2009 FICTION BESTSELLERS,1600,16,9,13.85,2,0,,"""Homer & Langley"" by this author of ""Ragtime"" details the lives of the reclusive Collyer Brothers",(E.L.) Doctorow
5800,11/27/2009,1,CYCLE BABBLE,800,18,4,8.04,1,0,,"The most coveted prize in the Tour de France is the maillot jaune, a Jersey of this color",yellow
4769,5/5/2005,0,1 FOR THE PRICE OF 2,800,26,8,9.7,2,1,http://www.j-archive.com/media/2005-05-05_J_09.jpg,(Sarah of the Clue Crew reports from atop a horse.)  The cattle known as black baldies are Hereford bred with this Scottish variety,Aberdeen Angus
5015,6/2/2006,1,DON'T YOU THINK?,2000,16,7,11.34,1,0,,"In the 1150s this philosopher began writing the ""Mishneh Torah"", which he completed 10 years later",Maimonides
4396,10/20/2003,1,TV GUIDE: 1953,1200,27,2,6.14,2,0,,"Just the facts, Ma'am: he missed being on the first cover by 1 week & was back the end of the year on the Dec. 11 cover",Jack Webb
4989,4/27/2006,0,CITIES IN SONG,600,18,7,10.98,1,0,,"Jan & Dean sang about ""The Little Old Lady From"" this city; ""She's the terror of Colorado Boulevard""",Pasadena
4349,6/26/2003,0,SHAPES,600,20,1,1.78,1,0,,"You'll need at least 54 feet of moulding for a 12 foot x 15 foot room, one in this shape",rectangle
5610,1/16/2009,1,COLLEGE SPORTS TEAM NICKNAMES,2000,4,2,14.31,1,0,,Jackson State & Missouri,Tigers
5556,11/3/2008,0,LETTER-HEADS,400,4,3,15.68,2,0,,22nd-letter style of sweater,a V-neck
6054,12/30/2010,0,STUPID ANSWERS,1000,14,3,7.93,2,0,,In August 2009 country duo Brooks & this guy announced that they were done,(Ronnie) Dunn
4534,4/29/2004,1,RIMBAUD,800,15,6,10.7,1,0,,"Arthur wrote an anti-clerical, semi-pornographic poem about his sister's ""First"" one of these church ceremonies",Communion
5480,6/6/2008,0,PEOPLE,200,16,6,10.35,2,0,,"After the murder of Joseph Smith in 1844, he took over as leader of the Mormons",Brigham Young
6284,1/5/2012,1,SCIENTIFIC SOUTH AMERICAN,400,17,10,13.77,1,0,,"Manuel Patarroyo developed SPf66, a purported vaccine against this tropical disease that still strikes tens of millions",malaria
4971,4/3/2006,0,THINGS ARCHITECTS SHOULD KNOW,800,19,5,8.73,2,0,,"A vampire will probably never bite you in the apse, as it's usually found in one of these buildings",a church
4646,11/15/2004,0,WHAT'S THAT WORD...?,600,12,3,8.18,1,0,,…that means face up: A. prostrate B. prone C. supine D. incline,supine
6097,3/1/2011,1,TO THE LETTER,800,19,8,11.23,1,0,,"A big one of these letters appears next to the words ""under 17 requires accompanying parent or adult guardian""",R
4244,1/30/2003,0,"""C"" FOR YOURSELF",600,12,6,12.13,1,0,,The History Channel calls this job America's one original contribution to mythology,cowboy
5717,6/16/2009,0,HE WAS PRESIDENT WHEN...,600,8,2,7.98,1,0,,British troops set fire to the U.S. Capitol,Madison
6143,5/4/2011,1,THE EARLY 20th CENTURY,2000,15,7,11.75,2,0,,"In 1915 this birth control advocate was arrested for obscenity for her pamphlet ""Family Limitation""",(Margaret) Sanger
5854,2/11/2010,0,CAN I GET A WITNESS?,1000,15,5,9.27,4,0,,It's in plain sight that the U.S. law enforcement service is responsible for witness security,the U.S. Marshals Service
4313,5/7/2003,0,"""EAU"", YEAH!",800,11,2,7.05,1,0,,"From the Old French for ""flame"", it's a large ornamental candlestick",flambeau
4723,3/2/2005,1,"DENNIS, ANYONE?",1200,14,2,6.86,2,1,http://www.j-archive.com/media/2005-03-02_DJ_28.jpg,You could say the blushing bride seen here was on the rebound,Dennis Rodman
4092,5/21/2002,0,FEBRUARY SWEEPS,1000,14,5,9.97,2,0,,"It was Judy, Judy in February 2001 as Judy Davis played this screen legend",Judy Garland
5762,10/6/2009,1,MARTIN,1600,11,4,9.92,1,0,,This island northeast of Venezuela was taken by France in 1635,Martinique
