,Show,AirDate,Round,Category,Value,qLength,qHardWords,qDaleChall,aLength,hasMedia,mediaLink,Question,Answer
2338,6144,5/5/2011,Jeopardy!,U.S. GEOGRAPHY,1000,44,12,8.94,3,True,http://www.j-archive.com/media/2011-05-05_J_05.jpg,"(Sarah of the Clue Crew shows a map on the monitor.)  The northwest angle belongs to the U.S., although it doesn't look that way; it's the only part of the lower 48 that extends miles north of this parallel of latitude",the 49th parallel
77337,5704,5/28/2009,Double Jeopardy!,WOEFUL WALL STREET,1200,17,8,11.91,1,False,,"Usually illegal, this profitable type of trading is done by people who have access to privileged information",insider
66210,4205,12/6/2002,Double Jeopardy!,BANG THE DRUM,1200,10,3,9.35,1,False,,"Varieties of cymbals include ride, splash & this ""loud"" one",crash
41190,5444,4/17/2008,Jeopardy!,ANTIBIOTICS,200,12,4,9.5,1,False,,Wycillin is a trade name for this moldy oldie of antibiotic agents,penicillin
58694,5848,2/3/2010,Jeopardy!,MAMMALS,1000,16,8,12.33,3,False,,"One of 2 living water mammals, also called sea cows, that belong to the order sirenia",manatees (or dugongs)
51649,5997,10/12/2010,Jeopardy!,ALIASES,1000,9,3,9.35,3,False,,"Sir Percy Blakeney, a ""colorful"" fop with a sword",The Scarlet Pimpernel
68354,5300,9/28/2007,Jeopardy!,MORGAN FREEMAN,200,23,8,10.17,3,True,http://www.j-archive.com/media/2007-09-28_J_11.jpg,(Morgan Freeman gives the clue.) I received my second Oscar nomination for this 1989 film set in the mid-20th century South,Driving Miss Daisy
89846,6180,6/24/2011,Double Jeopardy!,REVOLUTIONARY WAR GENERALS,400,16,4,8.38,1,False,,"In command when the war began, Artemas Ward was soon playing second fife to this man",Washington
84046,5285,7/27/2007,Double Jeopardy!,ALL ABOUT ANIMALS,2000,11,4,11.1,3,True,http://www.j-archive.com/media/2007-07-27_DJ_15.jpg,Not a diving duck--it's the dabbling ducky seen here,a mallard duck
65462,5745,7/24/2009,Double Jeopardy!,POETS & POETRY,800,18,4,8.04,3,False,,"This Irish poet ""will arise and go now, and go to Innisfree, and a small cabin build there""",(William Butler) Yeats
