qHardWords,qLength,hasMedia,qDaleChall,Value,Round,Show,aLength
12,44,1,8.94,1000,0,6144,3
8,17,0,11.91,1200,1,5704,1
3,10,0,9.35,1200,1,4205,1
4,12,0,9.5,200,0,5444,1
8,16,0,12.33,1000,0,5848,3
3,9,0,9.35,1000,0,5997,3
8,23,1,10.17,200,0,5300,3
4,16,0,8.38,400,1,6180,1
4,11,1,11.1,2000,1,5285,3
4,18,0,8.04,800,1,5745,3
2,18,0,6.34,1600,1,5876,7
5,12,0,10.81,800,0,5547,3
5,17,0,9.12,600,0,4864,3
7,17,0,10.98,800,0,5385,2
4,16,0,8.84,200,0,5656,1
0,3,0,0.15,800,1,4324,1
4,14,0,8.84,800,0,5599,1
9,16,0,14.48,1600,1,5004,1
8,17,0,11.91,400,1,5672,1
7,13,0,12.78,800,0,5763,1
5,10,0,12.03,200,0,5387,1
6,20,0,9.57,200,0,4525,1
7,14,0,12.23,400,0,4959,2
8,19,0,11.23,400,1,4951,3
1,8,1,6.57,600,0,5295,2
8,16,0,12.8,800,1,4515,1
5,16,0,9.64,400,1,5185,1
2,3,0,14.31,200,0,4675,2
2,6,0,9.2,2000,1,4782,1
3,16,0,7.17,800,1,4845,2
7,21,0,10.4,400,0,5788,1
5,13,0,10.81,1200,1,4332,2
4,18,0,8.04,1200,1,5767,1
2,12,0,6.86,600,0,4761,2
4,11,0,9.92,800,0,6274,2
5,14,0,9.97,200,0,4584,2
4,10,0,11.1,400,0,6175,2
5,15,0,9.97,1000,0,4123,1
7,20,0,10.16,1000,0,4932,1
8,18,1,12.33,400,0,6285,1
5,11,0,11.36,800,0,4462,2
4,9,0,11.1,400,1,6146,2
3,3,0,19.58,1000,0,5564,1
9,19,0,12.06,800,1,5372,1
8,16,0,12.33,1000,0,4348,1
7,17,0,11.34,600,0,5177,2
5,13,0,10.35,400,1,4151,1
6,17,0,10.35,2000,1,6268,2
5,16,0,9.36,200,0,6280,3
8,19,0,11.55,1600,1,4890,2
7,18,0,10.67,2000,1,4504,2
9,17,0,12.84,400,1,4722,2
3,5,0,15.68,400,1,5345,2
2,7,0,8.5,200,0,4776,3
3,9,1,10.75,1200,1,5080,6
3,9,0,9.35,1000,0,5537,2
4,16,0,8.38,400,1,4188,5
6,23,0,8.33,200,0,5261,2
6,11,0,12.79,400,0,6271,1
8,19,0,11.55,400,1,5888,2
3,5,0,13.36,800,0,6207,1
4,19,0,7.9,400,0,4309,1
6,18,0,9.79,400,0,5131,2
5,12,0,10.81,2000,1,4475,1
8,17,0,11.91,600,0,5015,2
5,17,0,9.12,1600,1,6197,2
0,9,0,0.45,200,0,5293,2
5,17,0,9.36,2000,1,4302,2
10,15,0,15.61,2000,1,5096,1
3,15,0,7.54,2000,1,5655,1
6,19,0,9.57,1600,1,4675,2
8,23,0,10.17,1600,1,4784,3
5,20,0,8.58,1000,0,4888,3
8,21,0,10.45,600,0,5759,4
6,14,0,11.1,800,1,4458,2
7,13,0,12.78,2000,1,4198,3
6,18,0,9.79,800,1,5732,1
5,14,0,9.97,1200,1,4989,3
9,19,0,12.06,1200,1,5123,1
6,17,0,10.35,2000,1,4360,2
8,18,0,11.91,600,0,4885,1
5,10,0,12.03,800,0,5186,1
1,13,0,5.5,200,0,5947,2
7,14,0,12.23,200,0,4592,5
2,11,0,7.05,400,0,4298,2
5,16,0,9.36,400,1,4921,1
3,14,0,7.71,1600,1,4576,2
7,20,0,10.16,1200,1,5541,2
4,21,1,7.9,2000,1,5148,1
0,3,1,0.05,1200,1,5240,2
5,21,0,8.44,200,0,4469,2
3,15,0,7.54,200,0,5193,1
8,16,1,13.35,800,1,4774,2
4,18,0,8.04,200,0,6053,1
6,13,0,11.57,600,0,4157,2
8,20,0,11.55,400,1,6051,2
5,18,0,9.12,600,0,5320,2
3,4,0,15.68,200,0,5182,1
5,10,0,12.03,1000,0,5771,1
7,17,0,10.98,400,1,5739,2
1,2,0,11.63,800,1,5264,1
12,46,1,9.27,600,0,4925,2
5,12,0,10.81,400,0,5026,2
4,9,0,11.1,200,0,4196,1
0,4,0,0.2,1200,1,5023,4
6,11,0,12.79,800,0,4837,3
7,16,0,11.75,600,0,4591,4
3,17,0,7.27,1000,0,5723,1
2,14,0,6.59,600,0,5094,2
3,16,0,7.39,800,1,5906,1
6,22,0,9.19,400,0,5817,2
5,20,0,8.58,400,1,6284,1
4,13,1,9.92,800,0,4659,3
6,21,0,9.19,400,0,6248,4
5,19,0,8.92,1200,1,5363,1
4,16,0,8.38,400,0,6169,2
7,14,0,12.78,1200,1,5885,2
2,6,0,9.2,400,0,4562,1
4,14,0,8.5,600,0,4824,2
4,15,0,8.59,200,0,6165,2
7,17,0,10.94,1000,0,5519,1
8,17,0,11.91,2000,1,6139,5
6,14,0,11.1,200,0,5986,1
1,6,0,6.57,400,1,5583,1
5,12,1,12.03,1200,1,5840,1
5,11,0,11.36,600,0,5439,2
4,12,0,9.65,400,1,4864,1
4,8,0,11.93,800,0,5706,1
2,5,0,10.2,2000,1,5393,2
4,11,0,10.45,600,0,4218,1
3,3,0,19.58,800,0,5387,1
6,16,0,10.35,1200,1,6007,2
8,16,0,12.33,600,0,4343,2
7,12,0,13.44,800,0,6103,2
5,16,0,9.64,2000,1,4285,1
6,18,0,9.79,800,0,4634,1
4,21,0,7.69,1000,0,5558,2
4,7,0,13.01,800,1,6173,2
2,11,1,7.59,1600,1,4643,1
9,18,0,12.42,400,1,4879,3
6,13,0,11.57,1000,0,5731,1
