x,y
7.10647591,10.07537369,
7.30420244,0.29483126,
-3.5316427,5.71376747,
-8.21040806,1.70312651,
1.60388205,10.67553065,
-3.57383796,-4.00326222,
0.30728995,11.05518498,
9.49497521,4.34427448,
-10.53135053,0.21727298,
3.07730129,11.77183536,
-9.58313598,3.8546252,
9.2291461,10.736175,
-2.15201732,-18.67406157,
-8.56554433,-15.39386739,
-1.66444776,11.74215019,
-3.89740095,12.9104479,
5.97025835,10.18064871,
10.81622194,-3.81014162,
-2.60828839,6.68238011,
-0.13887929,-9.0546719,
-7.20073618,-4.96175507,
-1.38016268,8.34483951,
-1.72411235,-0.72984584,
8.28882487,-1.58644852,
6.15351,12.17883708,
-6.48206902,-11.28334078,
-2.55019771,-12.99676168,
-4.87096418,-21.93628752,
3.89542528,-9.02969962,
10.49298825,5.60326775,
-2.55729962,0.64271929,
7.46866905,-9.93442225,
-11.44946812,8.49144012,
-13.23080333,1.98281468,
11.22599427,0.70944425,
-6.85618079,-8.28995181,
12.59789246,-1.13151973,
6.87235116,4.77728717,
7.4388417,8.85137651,
-3.06867602,-7.4590415,
4.34226861,-4.86625549,
0.62751126,-17.32842402,
-6.43914212,10.28235111,
-10.65635543,-3.06814958,
10.82704494,2.65898515,
-11.8643494,-5.48728658,
2.26925783,-8.24532457,
-0.33067653,13.1100549,
-5.58456122,3.45380005,
-1.66535139,-31.30117304,
14.7358292,-11.30232529,
-2.01393533,9.87797158,
10.5429193,6.97974241,
2.67762229,5.36129475,
-8.9441714,8.71912907,
-9.38557143,-2.86822685,
-11.3491452,6.55069623,
-7.21214594,13.67296696,
2.26200968,-23.58495547,
19.54204896,-7.9157554,
-11.39946708,-1.44684279,
11.89045478,3.21346417,
10.89203482,-5.66096978,
5.3888551,0.99684671,
-9.885347,-5.62345905,
-5.5690894,-15.10662213,
-10.11163759,-19.31388547,
9.49296844,-7.79626841,
0.93526144,1.60455327,
-9.07395816,-8.60488562,
-6.7609441,-0.27987687,
-10.78641576,1.8175715,
4.75105172,6.78474815,
-5.61779684,-3.73735924,
-12.81245996,-13.47795155,
3.69218504,-1.42503464,
1.96370071,7.83626481,
0.9974267,-4.33645088,
1.00348478,4.59772991,
0.83116501,8.28967884,
15.61451594,-2.65472702,
11.41543649,4.83804992,
13.10267611,1.65019099,
8.65980844,-3.2784943,
-1.37913992,5.98074782,
5.7434812,-6.90074341,
6.84732102,7.44058841,
-5.52910568,13.21083422,
-5.81253563,7.94443417,
6.5223723,-4.61579058,
-9.10041094,2.5269105,
-12.69943331,-3.78617874,
-8.11181738,-5.80532523,
9.73368906,7.83996826,
-5.10894809,9.70791083,
7.79961569,2.24890836,
-5.17783019,5.70978913,
4.30578281,3.2037272,
-4.57007357,11.27922034,
-7.9746107,7.16504044
